customer_id,customer_segment
C0001,Consumer
C0002,Consumer
C0003,Consumer
C0004,Enterprise
C0005,Enterprise
C0006,SME
C0007,Enterprise
C0008,Enterprise
C0009,Consumer
C0010,Enterprise
C0011,Enterprise
C0012,Enterprise
C0013,Consumer
C0014,Enterprise
C0015,SME
C0016,Enterprise
C0017,Consumer
C0018,Enterprise
C0019,Enterprise
C0020,Consumer
C0021,SME
C0022,Consumer
C0023,Consumer
C0024,Enterprise
C0025,Consumer
C0026,Enterprise
C0027,Enterprise
C0028,Enterprise
C0029,Consumer
C0030,Enterprise
C0031,Consumer
C0032,Enterprise
C0033,Enterprise
C0034,SME
C0035,Consumer
C0036,SME
C0037,Consumer
C0038,SME
C0039,SME
C0040,SME
C0041,Enterprise
C0042,SME
C0043,SME
C0044,SME
C0045,SME
C0046,Consumer
C0047,Enterprise
C0048,SME
C0049,Consumer
C0050,Consumer
C0051,SME
C0052,Enterprise
C0053,Enterprise
C0054,Enterprise
C0055,SME
C0056,Consumer
C0057,Enterprise
C0058,Enterprise
C0059,Enterprise
C0060,Consumer
C0061,Consumer
C0062,SME
C0063,Consumer
C0064,Consumer
C0065,SME
C0066,Consumer
C0067,Consumer
C0068,SME
C0069,Consumer
C0070,Enterprise
C0071,SME
C0072,SME
C0073,Enterprise
C0074,Consumer
C0075,Consumer
C0076,SME
C0077,Consumer
C0078,Consumer
C0079,SME
C0080,Consumer
C0081,SME
C0082,Consumer
C0083,Enterprise
C0084,Enterprise
C0085,Enterprise
C0086,Enterprise
C0087,Consumer
C0088,Consumer
C0089,SME
C0090,Consumer
C0091,Enterprise
C0092,SME
C0093,SME
C0094,Consumer
C0095,Enterprise
C0096,Consumer
C0097,Enterprise
C0098,SME
C0099,Enterprise
C0100,Consumer
