sale_id,sale_date,product_id,branch_id,customer_id,channel,quantity,unit_price,discount_pct,revenue,cost,profit
S00001,2026-06-13,P002,B001,C0087,Online,1,3200,0.0,3200.0,2327.34,872.66
S00002,2026-05-20,P002,B005,C0078,Store,1,3200,0.0,3200.0,2004.9,1195.1
S00003,2026-01-07,P009,B002,C0076,Online,2,3100,0.05,5890.0,3869.35,2020.65
S00004,2026-03-13,P001,B002,C0098,Online,1,4200,0.0,4200.0,2616.86,1583.14
S00005,2026-03-28,P002,B001,C0006,Store,1,3200,0.0,3200.0,2242.38,957.62
S00006,2026-04-28,P009,B001,C0081,Corporate,1,3100,0.1,2790.0,1979.77,810.23
S00007,2026-06-08,P006,B005,C0038,Store,1,780,0.15,663.0,487.95,175.05
S00008,2026-01-21,P004,B001,C0046,Store,2,420,0.0,840.0,514.53,325.47
S00009,2026-02-23,P005,B001,C0060,Online,1,360,0.15,306.0,226.43,79.57
S00010,2026-04-08,P005,B005,C0005,Store,1,360,0.0,360.0,225.29,134.71
S00011,2026-03-22,P007,B003,C0041,Store,4,1250,0.1,4500.0,3776.37,723.63
S00012,2026-02-24,P008,B004,C0032,Corporate,2,1800,0.0,3600.0,2278.71,1321.29
S00013,2026-05-24,P009,B003,C0029,Online,1,3100,0.1,2790.0,2045.63,744.37
S00014,2026-02-05,P009,B004,C0021,Store,1,3100,0.0,3100.0,1892.76,1207.24
S00015,2026-06-24,P007,B005,C0071,Store,1,1250,0.05,1187.5,857.28,330.22
S00016,2026-01-03,P002,B005,C0056,Online,3,3200,0.0,9600.0,5782.18,3817.82
S00017,2026-02-10,P008,B001,C0098,Corporate,3,1800,0.0,5400.0,4181.64,1218.36
S00018,2026-02-15,P009,B001,C0026,Corporate,1,3100,0.15,2635.0,2112.75,522.25
S00019,2026-02-09,P006,B002,C0077,Online,3,780,0.1,2106.0,1787.05,318.95
S00020,2026-03-24,P008,B001,C0031,Store,1,1800,0.0,1800.0,1130.2,669.8
S00021,2026-05-26,P002,B001,C0017,Online,3,3200,0.1,8640.0,7038.4,1601.6
S00022,2026-06-18,P008,B005,C0028,Store,2,1800,0.1,3240.0,2392.66,847.34
S00023,2026-05-19,P004,B003,C0067,Store,2,420,0.0,840.0,560.8,279.2
S00024,2026-04-26,P002,B002,C0076,Store,1,3200,0.1,2880.0,2210.51,669.49
S00025,2026-02-26,P001,B001,C0043,Online,1,4200,0.0,4200.0,3196.55,1003.45
S00026,2026-01-19,P009,B002,C0074,Store,2,3100,0.1,5580.0,3760.07,1819.93
S00027,2026-05-28,P008,B002,C0085,Online,3,1800,0.0,5400.0,3233.87,2166.13
S00028,2026-04-21,P006,B004,C0083,Store,3,780,0.0,2340.0,1672.33,667.67
S00029,2026-01-26,P001,B004,C0025,Online,3,4200,0.0,12600.0,7934.61,4665.39
S00030,2026-05-18,P008,B002,C0010,Store,1,1800,0.0,1800.0,1358.81,441.19
S00031,2026-04-24,P009,B001,C0097,Store,5,3100,0.0,15500.0,11993.89,3506.11
S00032,2026-03-02,P003,B004,C0022,Online,1,950,0.05,902.5,722.46,180.04
S00033,2026-04-08,P001,B004,C0090,Store,3,4200,0.05,11970.0,8026.83,3943.17
S00034,2026-05-23,P008,B002,C0070,Store,1,1800,0.0,1800.0,1252.5,547.5
S00035,2026-01-16,P006,B001,C0066,Store,2,780,0.1,1404.0,953.92,450.08
S00036,2026-01-21,P003,B001,C0073,Online,2,950,0.0,1900.0,1255.43,644.57
S00037,2026-03-05,P010,B005,C0067,Store,1,190,0.15,161.5,132.38,29.12
S00038,2026-03-22,P005,B002,C0086,Online,1,360,0.0,360.0,237.3,122.7
S00039,2026-06-15,P005,B004,C0080,Store,3,360,0.0,1080.0,628.41,451.59
S00040,2026-05-25,P002,B001,C0009,Online,2,3200,0.0,6400.0,4906.57,1493.43
S00041,2026-03-04,P006,B003,C0084,Store,3,780,0.15,1989.0,1498.78,490.22
S00042,2026-05-16,P001,B005,C0014,Store,2,4200,0.0,8400.0,5316.3,3083.7
S00043,2026-05-22,P003,B003,C0082,Store,1,950,0.0,950.0,589.68,360.32
S00044,2026-03-09,P009,B004,C0055,Store,4,3100,0.0,12400.0,7420.9,4979.1
S00045,2026-03-12,P001,B001,C0057,Store,1,4200,0.0,4200.0,2571.73,1628.27
S00046,2026-05-22,P007,B005,C0070,Store,1,1250,0.15,1062.5,950.98,111.52
S00047,2026-01-10,P006,B005,C0006,Online,1,780,0.0,780.0,500.49,279.51
S00048,2026-04-02,P004,B002,C0053,Online,1,420,0.1,378.0,317.87,60.13
S00049,2026-06-08,P003,B002,C0004,Corporate,5,950,0.0,4750.0,3592.35,1157.65
S00050,2026-02-15,P006,B004,C0090,Online,3,780,0.0,2340.0,1482.07,857.93
S00051,2026-01-28,P007,B001,C0030,Corporate,1,1250,0.05,1187.5,812.41,375.09
S00052,2026-02-27,P001,B002,C0036,Store,1,4200,0.0,4200.0,3248.19,951.81
S00053,2026-03-31,P009,B004,C0015,Online,3,3100,0.0,9300.0,7140.98,2159.02
S00054,2026-03-08,P003,B005,C0045,Corporate,1,950,0.0,950.0,664.35,285.65
S00055,2026-03-22,P007,B005,C0006,Corporate,1,1250,0.1,1125.0,772.52,352.48
S00056,2026-07-01,P007,B001,C0095,Online,3,1250,0.15,3187.5,2714.57,472.93
S00057,2026-06-21,P004,B003,C0085,Store,4,420,0.0,1680.0,1183.78,496.22
S00058,2026-02-01,P005,B005,C0071,Store,1,360,0.05,342.0,259.0,83.0
S00059,2026-02-02,P004,B004,C0079,Online,1,420,0.15,357.0,319.44,37.56
S00060,2026-05-26,P005,B004,C0075,Online,1,360,0.0,360.0,223.93,136.07
S00061,2026-06-05,P006,B004,C0095,Store,2,780,0.1,1404.0,1052.43,351.57
S00062,2026-02-13,P002,B003,C0097,Online,2,3200,0.0,6400.0,3831.54,2568.46
S00063,2026-03-02,P005,B002,C0061,Online,1,360,0.0,360.0,226.43,133.57
S00064,2026-06-06,P002,B004,C0050,Store,2,3200,0.0,6400.0,4631.48,1768.52
S00065,2026-05-07,P007,B002,C0029,Store,2,1250,0.0,2500.0,1839.21,660.79
S00066,2026-02-15,P009,B004,C0060,Store,1,3100,0.0,3100.0,2081.01,1018.99
S00067,2026-06-20,P009,B005,C0093,Online,4,3100,0.05,11780.0,8711.38,3068.62
S00068,2026-05-10,P007,B005,C0097,Store,1,1250,0.05,1187.5,837.52,349.98
S00069,2026-03-05,P005,B005,C0037,Online,1,360,0.05,342.0,214.38,127.62
S00070,2026-03-02,P005,B003,C0050,Store,2,360,0.0,720.0,439.32,280.68
S00071,2026-06-27,P003,B002,C0008,Store,1,950,0.1,855.0,639.53,215.47
S00072,2026-02-22,P007,B004,C0098,Corporate,2,1250,0.15,2125.0,1459.77,665.23
S00073,2026-05-28,P007,B004,C0054,Store,1,1250,0.05,1187.5,938.36,249.14
